"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity"
"1993","EXPLOSION",20,16,25,0,51000,7
"1993","FIRE",27,5,698,5232,10479000,9
"1993","FLOOD",248,78,47252,1043596,19359000,1
"1993","FORESTFIRE",32,0,400,9100,600000,10
"1993","FROST",33,56,0,500,0,1
"1993","HAILSTORM",22,3,1925,8600,0,9
"1993","HEATWAVE",22,85,0,0,0,1
"1993","Intoxicación",11,21,0,0,0,5
"1993","LANDSLIDE",13,5,135,412,0,9
"1993","LEAK",15,6,0,60,0,9
"1993","Onda fría",5,10,0,0,0,8
"1993","PLAGUE",16,0,0,0,0,10
"1993","POLLUTION",2,0,0,0,0,10
